"filename", "language", "JSON", "TypeScript", "SCSS", "Django Template", "XML", "comment", "blank", "total"
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\exporter.constant.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 2, 19
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\query-makers\query-helper.class.ts", "TypeScript", 0, 96, 0, 0, 0, 23, 29, 148
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\query-makers\query-maker.class.ts", "TypeScript", 0, 113, 0, 0, 0, 63, 46, 222
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-deletor\db-deletor.class.ts", "TypeScript", 0, 25, 0, 0, 0, 19, 8, 52
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-insertor\db-insertor.class.ts", "TypeScript", 0, 25, 0, 0, 0, 21, 10, 56
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-selector\db-selector.class.ts", "TypeScript", 0, 50, 0, 0, 0, 41, 21, 112
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-store\dbstore.class.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 16, 60
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-updator\db-updator.class.ts", "TypeScript", 0, 48, 0, 0, 0, 41, 15, 104
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\exporter.constant.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 2, 19
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\helpers\connection-string-maker.class.ts", "TypeScript", 0, 32, 0, 0, 0, 24, 12, 68
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-deletor\db-deletor.class.ts", "TypeScript", 0, 22, 0, 0, 0, 14, 7, 43
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-insertor\db-insertor.class.ts", "TypeScript", 0, 22, 0, 0, 0, 19, 6, 47
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-selector\db-selector.class.ts", "TypeScript", 0, 41, 0, 0, 0, 26, 12, 79
