"filename", "language", "TypeScript React", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Source\anita\app\src\app\libs\db-connector\db-builder\sez-definition.ts", "TypeScript", 0, 19, 0, 9, 3, 31
"c:\Source\anita\app\src\app\libs\db-connector\db-connector.class.ts", "TypeScript", 0, 47, 0, 32, 14, 93
"c:\Source\anita\app\src\app\libs\db-connector\models\executers.d.ts", "TypeScript", 0, 101, 0, 37, 18, 156
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-deletor\db-deletor.class.ts", "TypeScript", 0, 15, 0, 12, 8, 35
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-insertor\db-insertor.class.ts", "TypeScript", 0, 13, 0, 11, 6, 30
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-selector\db-selector.class.ts", "TypeScript", 0, 45, 0, 26, 13, 84
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-store\dbstore.class.ts", "TypeScript", 0, 42, 0, 21, 16, 79
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\db-updator\db-updator.class.ts", "TypeScript", 0, 13, 0, 11, 6, 30
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\exporter.constant.ts", "TypeScript", 0, 14, 0, 3, 2, 19
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\element-adder-to-collection.class.ts", "TypeScript", 0, 30, 0, 17, 9, 56
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\file-handle-checker.function.ts", "TypeScript", 0, 9, 0, 3, 4, 16
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\file-system-access-api.d.ts", "TypeScript", 0, 76, 0, 1, 19, 96
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\fs-helper.ts", "TypeScript", 0, 54, 0, 31, 9, 94
"c:\Source\anita\app\src\app\libs\db-connector\plugins\file-handles\helpers\project-file-handle-saver.class.ts", "TypeScript", 0, 25, 0, 24, 8, 57
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-deletor\db-deletor.class.ts", "TypeScript", 0, 21, 0, 11, 5, 37
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-insertor\db-insertor.class.ts", "TypeScript", 0, 17, 0, 11, 5, 33
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-selector\db-selector.class.ts", "TypeScript", 0, 44, 0, 33, 15, 92
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-store\dbstore.class.ts", "TypeScript", 0, 42, 0, 4, 19, 65
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\db-updator\db-updator.class.ts", "TypeScript", 0, 17, 0, 11, 5, 33
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\exporter.constant.ts", "TypeScript", 0, 14, 0, 3, 2, 19
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\query-makers\query-helper.class.ts", "TypeScript", 0, 96, 0, 23, 29, 148
"c:\Source\anita\app\src\app\libs\db-connector\plugins\indexed-db\query-makers\query-maker.class.ts", "TypeScript", 0, 113, 0, 63, 46, 222
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-deletor\db-deletor.class.ts", "TypeScript", 0, 25, 0, 19, 8, 52
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-insertor\db-insertor.class.ts", "TypeScript", 0, 25, 0, 21, 10, 56
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-selector\db-selector.class.ts", "TypeScript", 0, 50, 0, 41, 21, 112
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-store\dbstore.class.ts", "TypeScript", 0, 44, 0, 0, 16, 60
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\db-updator\db-updator.class.ts", "TypeScript", 0, 48, 0, 41, 15, 104
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\exporter.constant.ts", "TypeScript", 0, 14, 0, 3, 2, 19
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mongo-db\helpers\connection-string-maker.class.ts", "TypeScript", 0, 32, 0, 24, 12, 68
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-deletor\db-deletor.class.ts", "TypeScript", 0, 22, 0, 14, 7, 43
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-insertor\db-insertor.class.ts", "TypeScript", 0, 22, 0, 19, 6, 47
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-selector\db-selector.class.ts", "TypeScript", 0, 41, 0, 26, 12, 79
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-store\dbstore.class.ts", "TypeScript", 0, 26, 0, 3, 11, 40
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\db-updator\db-updator.class.ts", "TypeScript", 0, 22, 0, 19, 6, 47
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\exporter.constant.ts", "TypeScript", 0, 14, 0, 3, 2, 19
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\execute-query.function.ts", "TypeScript", 0, 10, 0, 3, 2, 15
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\query-maker.class.ts", "TypeScript", 0, 54, 0, 23, 13, 90
"c:\Source\anita\app\src\app\libs\db-connector\plugins\mysql\helpers\where-builder.class.ts", "TypeScript", 0, 24, 0, 16, 8, 48
"c:\Source\anita\app\src\app\libs\id-creator\id-creator.class.ts", "TypeScript", 0, 15, 0, 9, 11, 35
"c:\Source\anita\app\src\app\libs\logger\logger.class.ts", "TypeScript", 0, 60, 0, 44, 27, 131
"c:\Source\anita\app\src\app\libs\project-helpers\get-parent-info-for-details-view.class.ts", "TypeScript", 0, 35, 0, 0, 6, 41
"c:\Source\anita\app\src\app\libs\project-helpers\parent-info-form-ele-builder\options-for-parents-selector.class.ts", "TypeScript", 0, 36, 0, 0, 5, 41
"c:\Source\anita\app\src\app\libs\project-helpers\parent-info-form-ele-builder\parent-info-form-ele-builder.class.ts", "TypeScript", 0, 31, 0, 5, 8, 44
